银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
武汉农商,迪堡,OPTEVA_522,取款机(ATM),XP SP3,,有,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_007P,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_007P,5,,
武汉农商,迪堡,OPTEVA_529,取款机(ATM),XP SP3,,,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_007P,XFS4.0.0.0_2013Y1C,ZJAXV2_0_0_Update_007P,26,,
武汉农商,迪堡,OPTEVA_562,取款机(ATM),XP SP3,,有,4.0.3.8_2015Z1B,ZJAXV2_0_0_Update_019P_T2,4.0.3.8_2015Z1B,ZJAXV2_0_0_Update_019P_T2,85,,
武汉农商,迪堡,OPTEVA_569,取款机(ATM),XP SP3,,有,4.0.3.8_2015Z1B,ZJAXV2_0_0_Update_019P_T2,4.0.3.8_2015Z1B,ZJAXV2_0_0_Update_019P_T2,32,,
武汉农商,富士康,GM660,取款机(ATM),XP SP3,,有,2.0.0.8,ZJAXV2_0_0_Update_007P,2.0.0.8,ZJAXV2_0_0_Update_007P,40,,
武汉农商,广电,GRG_H22N,取款机(ATM),XP SP3,,有,SP10-4.3.13.04.0266,ZJAXV2_0_0_Update_019P_T2,SP10-4.3.13.04.0266,ZJAXV2_0_0_Update_019P_T2,51,,
武汉农商,广电,GRG_H38N,取款机(ATM),XP SP3,,有,SP10-4.3.13.04.0266,ZJAXV2_0_0_Update_019P_T2,SP10-4.3.13.04.0266,ZJAXV2_0_0_Update_019P_T2,15,,
武汉农商,广电,GRG_H68N,存取款一体机(CRS),XP SP3,,有,SP10-4.3.13.04.0266,ZJAXV2_0_0_Update_019P_T2,SP10-4.3.13.04.0266,ZJAXV2_0_0_Update_019P_T2,124,,
武汉农商,国光,NB2031C,查询机,XP SP3,,无,3.1.0,ZJAXV2_0_0_Update_010P_T2,3.1.0,ZJAXV2_0_0_Update_010P_T2,29,,
武汉农商,国光,NB2031D,查询机,XP SP3,无,有,3.1.0,ZJAXV2_0_0_Update_010P_T2,3.1.0,ZJAXV2_0_0_Update_010P_T2,122,,
武汉农商,浪潮,BCM1711TN,查询机,XP SP2,,,SP10.1.2,,SP10.1.2,,,,
武汉农商,日立,HT_2845V,存取款一体机(CRS),XP SP2,,有,SP100501,ZJAXV2_0_0_Update_019P_T2,SP100409,,8,,国光维护
星展银行,NCR,NCR_58XX,取款机(ATM),XP SP3,Solidcore,无,,,4.5.1,ZJAX2.0,0,,已完成淘汰，目前生产上已不存在NCR机型
星展银行,NCR,NCR_6622,取款机(ATM),XP SP3,Solidcore,无,,,5.1.0,ZJAX2.0,0,,已完成淘汰，目前生产上已不存在NCR机型
星展银行,NCR,NCR_6625,取款机(ATM),XP SP3,Solidcore,无,,,5.1.0,ZJAX2.0,0,,已完成淘汰，目前生产上已不存在NCR机型
星展银行,迪堡,OPTEVA_520,取款机(ATM),WIN7,Solidcore,有,,,3.9.0.6_2010Q3F,ZJAX2.0,3,,
星展银行,迪堡,OPTEVA_562,取款机(ATM),XP SP2,Solidcore,无,,,3.9.0.6_2010Q3F,ZJAX2.0,0,,
星展银行,日立,HT_2845SR,存取款一体机(CRS),WIN7,Solidcore,无,,ZJAX2.0,,ZJAXV2_0_0_Update_012P,2,,
星展银行,日立,HT_2845V,存取款一体机(CRS),WIN7,Solidcore,有,,,ZJHTSP_10018D,ZJAX2.0,26,,目前星展日立2845v10款、11款、12款（1台）共26款，7台切换WIN7系统。
兴业银行,NCR,NCR_6622,取款机(ATM),XP SP2,McAfee,无,4.5.1,,5.1.0,Kal076F,5,,无测试机
兴业银行,NCR,NCR_6625,取款机(ATM),XP SP2,McAfee,有,5.1.0,Kal076F,5.1.0,Kal076F,13,,
兴业银行,WINCOR,WINCOR_1500,取款机(ATM),XP,McAfee,无,ProBase11.20 B6,Kal075,,,,,用我们应用的分行没有此设备
兴业银行,WINCOR,WINCOR_2000XE,取款机(ATM),XP SP3,McAfee,无,ProBase11.20 B6,,Probase11.20,Kal076F,35,,
兴业银行,WINCOR,WINCOR_2050XE,取款机(ATM),XP SP3,McAfee,有,ProBase11.20 B6,Kal076F,Probase11.20,Kal076F,46,,测试机已换热敏打印机
兴业银行,WINCOR,WINCOR_4000,存取款一体机(CRS),XP SP3,McAfee,无,ProBase11.20,,ProBase11.20,Kal076F,113,,
兴业银行,WINCOR,WINCOR_4000TTU,存取款一体机(CRS),XP SP3,McAfee,有,ProBase11.20 B6,Kal076F,ProBase11.20,Kal076F,,,测试SP版本略低，弘策说不影响。
兴业银行,WINCOR,WINCOR_4060,存取款一体机(CRS),XP SP3,McAfee,有,Probase11.30 B7 1242,Kal076F,Probase11.30 B7 1242,Kal076F,96,,
兴业银行,迪堡,DIEBOLD_10XX,取款机(ATM),XP,McAfee,无,,,,,,,23台。机器太老，不上跨平台
兴业银行,迪堡,DIEBOLD_3030,存取款一体机(CRS),XP,McAfee,无,,,,,,,机器太老，淘汰
兴业银行,迪堡,OPTEVA_368,存取款一体机(CRS),,McAfee,有,Opteva-XFS-4.0.3.8-2014Z1B-CDT,Kal076F,,,,,
兴业银行,迪堡,OPTEVA_520,取款机(ATM),XP SP2,McAfee,有,4.0.3.8-2014Z1B,Kal076F,3.9.0.6_2010Q3F,Kal076F,336,,
兴业银行,迪堡,OPTEVA_529,取款机(ATM),XP SP3,McAfee,无,,,4.0.0.0_2013Y1B,Kal076F,,,测试机已移走。
兴业银行,迪堡,OPTEVA_560,取款机(ATM),XP SP2,McAfee,无,,,3.9.0.6_2010Q3F,Kal076F,99,,无测试机。
兴业银行,迪堡,OPTEVA_562,取款机(ATM),XP SP2,McAfee,有,4.0.3.8-2014Z1B,Kal076F,4.0.0.0_2014Z1B,Kal076F,613,,
兴业银行,迪堡,OPTEVA_569,取款机(ATM),XP SP3,McAfee,有,4.0.3.8-2014Z1B,Kal076F,,Kal076F,1,,
兴业银行,迪堡,OPTEVA_720,取款机(ATM),XP SP2,McAfee,无,4.0.3.8-2014Z1B,Kal076F,3.9.0.6_2010Q3F,Kal076F,90,,
兴业银行,迪堡,OPTEVA_760,取款机(ATM),XP SP2,McAfee,无,4.0.3.8-2014Z1B,,3.9.0.6_2010Q3F,Kal076F,118,,
兴业银行,广电,GRG_H22N,取款机(ATM),XP SP3,McAfee,有,4.3.12.63  0908,Kal076F,4.3.12.63  0908,Kal076F,1,,
兴业银行,广电,GRG_H68N,存取款一体机(CRS),XP SP3,McAfee,有,4.3.12.63  0908,Kal076F,4.3.12.63  0908,Kal076F,3,,
兴业银行,广电,I61,VTM,WIN7,McAfee,有,GRG SP4.3.12.63.0917,ZJAXV2_0_0_Update_013P,GRG SP4.3.12.63.0917,ZJAXV2_0_0_Update_013P,5,,
兴业银行,日立,HT_2845SR,存取款一体机(CRS),XP SP2,McAfee,有,ZJHTSP_10019P,Kal076F,ZJHTSP_10019P,Kal076F,203,,
兴业银行,日立,HT_2845V,存取款一体机(CRS),XP SP2,McAfee,有,ZJHTSP_10019P,KAL076F,ZJHTSP_10019P,Kal076F,754,,
